CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
07649106000160,UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,1,2025,16397571.64
56727134000163,UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,1,2025,103196457.41
85377174000120,UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,122996464.38
62638374000194,CENTRO TRASMONTANO DE SAO PAULO,1,2025,191768976.44
64924095000112,SERMED-SAÚDE LTDA.,1,2025,49578200.16
02687852000124,UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,9939041.49
04201372000137,UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO,1,2025,372199646.70
16921561000163,UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,1,2025,34531969.90
50368034000101,UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,1,2025,12037275.83
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),1,2025,27559803.93
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,1,2025,2138398.37
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,21118326.73
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,27898224.90
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,1,2025,4088501.35
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,29056578.47
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,1,2025,14226793.11
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,1,2025,2401089.88
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,1,2025,745295918.11
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,1,2025,58842038.80
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,1,2025,22518879.22
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,1,2025,834787.73
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,1,2025,23152691.24
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,1,2025,6492971.85
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,1,2025,1617246.58
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,1,2025,2388038.00
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,1,2025,37332396.81
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,1,2025,44090097.32
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,1,2025,136199380.50
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,1,2025,9584541.37
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,1,2025,41483283.40
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,128706930.45
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,1,2025,60558884.30
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,1,2025,26717501.29
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,1,2025,8583109.47
29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",1,2025,2709792.33
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,17417578.35
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,1,2025,504183293.24
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,1,2025,7259600.98
37313475000148,UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,1,2025,34053305.74
17146846000137,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,1,2025,5862377.32
88645403000139,CIRCULO OPERARIO CAXIENSE,1,2025,66279599.06
02752923000125,PROASA SAÚDE,1,2025,46365014.74
40223893000159,ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,1,2025,3133913.49
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,64547.93
36540979000138,UNIMED COSTA VERDE RJ,1,2025,16579053.59
51427540000197,UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,40766482.85
00304148000110,FUNDAÇÃO DE SAÚDE ITAIGUAPY,1,2025,20908357.76
89870547000151,UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,50090276.65
23031479000129,UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.,1,2025,2762546.91
87701249000102,UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,26363473.08
73936395000102,UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,1,2025,34597657.72
49210966000142,UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,84800605.03
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO,1,2025,7722401.21
04612990000170,UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA,1,2025,29741820.67
73809352000166,FUNDAÇÃO SAÚDE ITAÚ,1,2025,519042138.00
62476676000103,INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA,1,2025,9795810.65
26629238000174,UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,1,2025,35456124.57
31432792000105,UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS,1,2025,1086061466.37
30417661000188,UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,1,2025,25415228.52
78339439000130,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1,2025,153087745.80
03315918000118,UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,1,2025,205407865.52
25064148000110,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,1,2025,11141695.63
52657079000121,UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,1603721.59
87306361000149,UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,30513316.65
69612158000119,UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,3534694.43
73162760000179,UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO,1,2025,9311983.30
02597394000132,UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,50002359.35
60975174000100,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,1,2025,169184470.99
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO,1,2025,9065848.21
02172353000102,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,1,2025,17698031.15
44595858000111,UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS,1,2025,2717321.21
00571628000147,DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,1,2025,799631.79
66343534000129,UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,10357420.16
17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,1,2025,43993852.92
22263081000155,HOSPITAL CESAR LEITE,1,2025,2740248.36
68204486000113,UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,7586219.47
82956996000178,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,1,2025,50371626.16
82353079000107,PARANA ASSISTENCIA MEDICA LTDA,1,2025,16269335.75
62465117000106,FUNDAÇÃO CESP,1,2025,364742497.90
41905498000119,UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,8208157.43
00660903000107,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,1,2025,44647215.63
15215452000168,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,1,2025,7083815.59
64327059000171,UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,10972413.86
44803922000102,UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,1,2025,150617980.59
44863959000126,UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,1,2025,105321086.75
41781949000153,UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,1,2025,23832819.18
41511429000120,UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO,1,2025,6654769.02
42465310000121,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,1,2025,1680720.58
73395469000140,CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,1,2025,32351331.13
66343559000122,UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,1,2025,33922104.75
93507895000136,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,1,2025,124876.67
65442162000125,UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,1,2025,1532924.66
85177194000158,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,1,2025,14459494.41
05868278000107,UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,1,2025,630464217.60
42160192000143,FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,1,2025,69183931.15
62635990000191,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,1,2025,79276076.54
71499792000139,UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,9288864.01
26291484000169,UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO,1,2025,13281667.60
85246916000189,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1,2025,10087318.51
83506030000100,BENEFICENCIA CAMILIANA DO SUL,1,2025,56055174.57
74521188000150,UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,1,2025,24271559.90
02888465000156,OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,1,2025,26078119.04
35642768000143,UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,1,2025,33090223.44
25250820000162,UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,130730182.03
00636975000100,SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA,1,2025,13224358.60
87607149000111,UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,40390631.40
51473692000126,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,1,2025,19887001.39
87497368000195,UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,1,2025,64956693.83
35908607000159,CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,1,2025,1143068.51
43643139000166,UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,1,2025,327716878.07
37275625000176,UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,1,2025,53709608.73
32440968000125,UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,1,2025,99022135.74
00668790000188,CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,1,2025,10621677.99
01647867000104,UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS,1,2025,211424.53
81076069000109,UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,1,2025,23663723.07
39210844000100,UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO,1,2025,20249243.68
08680639000177,UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,243742001.99
00368318000120,UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,12511397.37
24243925000121,UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA,1,2025,4786366.80
82602327000106,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,1,2025,141841342.30
72127210000156,IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI,1,2025,7277769.57
,,1,2025,435104.41
29640612000120,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,1,2025,9322498.90
10395358000114,UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,1,2025,73945719.99
25335803000128,ASSOCIAÇÃO BENEFICENTE CATÓLICA,1,2025,2641852.09
78044815000160,UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,1,2025,28141048.27
23802218000165,UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO,1,2025,21216307.03
02156150000114,DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.,1,2025,1177388.69
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,1,2025,3900110.78
69087922000184,UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,15583866.89
03658432000182,GEAP AUTOGESTÃO EM SAÚDE,1,2025,1079143756.41
40853020000120,UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,1,2025,91983366.71
27626696000112,UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.,1,2025,15489982.27
25329079000120,UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO,1,2025,20196152.93
26150979000178,FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO,1,2025,9071850.59
28806545000109,UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,1,2025,43629564.95
57214900000159,UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO,1,2025,16342222.58
71064539000152,UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO,1,2025,6108057.87
09237009000195,UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL,1,2025,789965.75
68682715000105,PLAMER PLANO MEDICO RESENDE LTDA,1,2025,8266262.51
97388490000187,UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,1,2025,32305635.12
42182170000184,CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,1,2025,58231195.58
30036685000197,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,1,2025,78750790.23
69259356000140,S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,1,2025,49350350.98
40960189000189,UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO,1,2025,190.40
01193663000132,UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO,1,2025,18738114.54
67417519000140,UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,19335249.33
34063123000193,UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO,1,2025,3188270.48
66854779000110,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,1,2025,21437499.62
20946877000187,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,1,2025,8463922.55
87827689000100,UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,1,2025,241732501.50
29309127000179,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,1,2025,5183516348.17
50739135000141,SOBAM CENTRO MÉDICO HOSPITALAR S.A.,1,2025,95644457.17
78613841000161,ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,1,2025,44681286.78
15214919000155,PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,1,2025,73481345.18
05455431000166,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,1,2025,289740.00
66453168000160,UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO,1,2025,6965318.44
59847780000152,AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,1,2025,60382479.72
66916305000156,UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,1,2025,6143748.84
83937631000169,CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,1,2025,25364892.06
71186886000158,UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,4401393.87
12442737000143,UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO,1,2025,251716396.75
01559455000104,UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS,1,2025,23485464.15
00552181000169,UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO,1,2025,9866697.12
92316124000107,UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,6373887.29
00453863000114,MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.,1,2025,37979260.39
82996703000186,UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA,1,2025,71352337.04
55189930000127,IRMANDADE DE MISERICORDIA DE PORTO FERREIRA,1,2025,10913212.85
72783970000111,UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO,1,2025,23578925.82
26189530000113,UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,26967515.71
72957814000120,SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA,1,2025,11005816.93
29290152000158,UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.,1,2025,26623117.15
09306242000182,ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,1,2025,11539540.48
68709211000131,UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO,1,2025,27357264.78
31787625000179,FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,1,2025,28409686.98
02903477000102,ASSOCIAÇÃO SAÚDE CONCEIÇÃO,1,2025,4607511.86
02064028000118,UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA,1,2025,675459.74
34269803000168,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,1,2025,73037000.22
60633369000163,UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO,1,2025,53486553.51
25910449000118,UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,19374997.75
60214517000105,UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO,1,2025,156529846.85
39419809000198,PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE,1,2025,107911621.19
74466137000172,UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO,1,2025,56703033.04
01672007000112,SISTEMA PREVSAUDE DENTAL LTDA,1,2025,327877.36
15395999000192,UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,38230133.91
57746455000178,MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.,1,2025,0.00
52852100000140,IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO,1,2025,14157955.14
89761670000134,ASSOCIAÇAO UNISAUDE MARAU,1,2025,3497216.82
23278898000160,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS,1,2025,12910698.34
48721401000167,UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO,1,2025,19750274.23
58702853000155,UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA,1,2025,1589414.59
01773319000112,UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS,1,2025,0.00
82624776000147,UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO,1,2025,166677558.44
37652765000116,UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,3864315.65
45100138000109,UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO,1,2025,299840666.92
00111826000128,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,32036679.87
23725062000166,UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA,1,2025,5445045.63
29135795000127,UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.,1,2025,97602867.47
65276354000109,UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO,1,2025,18757426.00
92128610000193,"UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.",1,2025,17577919.24
08380701000105,UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO,1,2025,270493515.55
31466949000105,SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A,1,2025,334571901.63
02041808000142,ADVANCE PLANOS DE SAÚDE LTDA,1,2025,6355130.93
46124624000111,UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,731661974.79
14799035000147,ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,1,2025,26705614.17
13086566000120,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE,1,2025,6026181.49
00172586000171,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA,1,2025,881195.84
66872888000160,UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO,1,2025,81023941.94
08315806000180,UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,3561761.80
79115762000193,IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,1,2025,31218337.19
81710543000102,UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO,1,2025,20446373.60
21490586000190,COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,1,2025,67198914.11
05657234000120,UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA,1,2025,62771619.91
00946953000147,UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO,1,2025,17353529.14
86483542000188,UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,4000926.67
13360276000122,UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO,1,2025,139642274.64
84313741000112,UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,49143544.43
90747908000156,SULMED - ASSISTÊNCIA MÉDICA LTDA,1,2025,18540331.57
77375897000162,FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,1,2025,53707837.49
35436658000125,DENTAL CENTER LTDA,1,2025,1080645.17
02812468000106,UNIMED NACIONAL - COOPERATIVA CENTRAL,1,2025,1589400279.66
19878404000100,FUNDAÇÃO SÃO FRANCISCO XAVIER,1,2025,157409414.32
42425561000182,SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA,1,2025,1335718.92
80653975000158,UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,1,2025,17814689.32
76882612000117,CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,1,2025,164452269.46
24449225000198,UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO,1,2025,103564720.95
00763923000103,UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO,1,2025,77318.87
90619818000180,HOSPITAL DE PRONTOCLINICA LTDA.,1,2025,4078929.49
02403281000159,SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA,1,2025,182151232.90
03533726000188,UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO,1,2025,320223421.67
