CNPJ,RazaoSocial,Ano,Trimestre,ValorDespesas,RegistroANS,Modalidade,UF
02030246000131,ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),2025,1,2755980393.00,304131,Autogestão,SP
92240605000178,ON MED ASSISTÊNCIA MÉDICA LTDA,2025,1,213839837.00,304212,Medicina de Grupo,RS
42940528000190,UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,2111832673.00,304344,Cooperativa Médica,MG
22720791000167,UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,2789822490.00,304395,Cooperativa Médica,MG
01867792000169,NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.,2025,1,408850135.00,304441,Odontologia de Grupo,PE
37436920000167,UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,2025,1,2905657847.00,304468,Cooperativa Médica,MT
78738101000151,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,2025,1,1422679311.00,304484,Cooperativa odontológica,PR
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,2025,1,240108988.00,304531,Medicina de Grupo,MG
75055772000120,UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS,2025,1,74529591811.00,304701,Cooperativa Médica,PR
45425899000122,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,2025,1,5884203880.00,304883,Cooperativa Médica,SP
78420783000150,UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,2025,1,2251887922.00,305227,Cooperativa Médica,PR
72120124000111,UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA,2025,1,83478773.00,305421,Cooperativa odontológica,RS
33546979000157,UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,2025,1,2315269124.00,305472,Cooperativa Médica,GO
22666341000133,PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A,2025,1,649297185.00,305626,Medicina de Grupo,MG
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,2025,1,161724658.00,305928,Medicina de Grupo,SP
72547623000190,SANTA CASA DE MISERICÓRDIA DE TUPÃ,2025,1,238803800.00,306045,Filantropia,SP
81715716000177,UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO,2025,1,3733239681.00,306100,Cooperativa Médica,PR
44663631000166,UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,2025,1,4409009732.00,306126,Cooperativa Médica,SP
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,2025,1,13619938050.00,306398,Cooperativa Médica,RS
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,2025,1,958454137.00,306754,Autogestão,GO
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,2025,1,4148328340.00,306762,Cooperativa Médica,SP
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,12870693045.00,306886,Cooperativa Médica,MG
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,2025,1,6055888430.00,307319,Autogestão,RS
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,2025,1,2671750129.00,307751,Autogestão,PE
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,2025,1,858310947.00,308811,Cooperativa Médica,PR
29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",2025,1,270979233.00,309028,Medicina de Grupo,RJ
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,1741757835.00,309087,Cooperativa Médica,MG
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,2025,1,50418329324.00,309222,Medicina de Grupo,RJ
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,2025,1,725960098.00,309524,Cooperativa Médica,SP
37313475000148,UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,2025,1,3405330574.00,309907,Cooperativa Médica,TO
17146846000137,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,2025,1,586237732.00,310239,Medicina de Grupo,SP
88645403000139,CIRCULO OPERARIO CAXIENSE,2025,1,6627959906.00,310247,Medicina de Grupo,RS
02752923000125,PROASA SAÚDE,2025,1,4636501474.00,310522,Medicina de Grupo,DF
40223893000159,ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,2025,1,313391349.00,310981,Odontologia de Grupo,SP
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,2025,1,6454793.00,311057,Cooperativa Médica,MG
36540979000138,UNIMED COSTA VERDE RJ,2025,1,1657905359.00,311146,Cooperativa Médica,RJ
51427540000197,UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,2025,1,4076648285.00,311294,Cooperativa Médica,SP
00304148000110,FUNDAÇÃO DE SAÚDE ITAIGUAPY,2025,1,2090835776.00,311359,Medicina de Grupo,PR
89870547000151,UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,5009027665.00,311375,Cooperativa Médica,RS
23031479000129,UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.,2025,1,276254691.00,311391,Cooperativa odontológica,AM
87701249000102,UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,2636347308.00,311618,Cooperativa Médica,RS
73936395000102,UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,2025,1,3459765772.00,311715,Cooperativa Médica,RS
49210966000142,UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,8480060503.00,311847,Cooperativa Médica,SP
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO,2025,1,772240121.00,311944,Cooperativa Médica,SP
04612990000170,UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA,2025,1,2974182067.00,311961,Cooperativa Médica,AM
73809352000166,FUNDAÇÃO SAÚDE ITAÚ,2025,1,51904213800.00,312126,Autogestão,MG
62476676000103,INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA,2025,1,979581065.00,312282,Medicina de Grupo,SP
26629238000174,UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,2025,1,3545612457.00,312347,Cooperativa Médica,GO
31432792000105,UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS,2025,1,108606146637.00,312363,Cooperativa Médica,RJ
30417661000188,UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,2025,1,2541522852.00,312592,Cooperativa Médica,RJ
78339439000130,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,2025,1,15308774580.00,312720,Cooperativa Médica,PR
03315918000118,UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,2025,1,20540786552.00,312851,Cooperativa Médica,MS
25064148000110,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,2025,1,1114169563.00,313084,Cooperativa Médica,TO
52657079000121,UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO,2025,1,160372159.00,313149,Cooperativa Médica,SP
87306361000149,UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,3051331665.00,313211,Cooperativa Médica,RS
69612158000119,UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO,2025,1,353469443.00,313475,Cooperativa Médica,PI
73162760000179,UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO,2025,1,931198330.00,313751,Cooperativa odontológica,SP
02597394000132,UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,5000235935.00,314099,Cooperativa Médica,MT
60975174000100,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,2025,1,16918447099.00,314218,Filantropia,SP
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO,2025,1,906584821.00,314242,Cooperativa Médica,SP
02172353000102,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,2025,1,1769803115.00,314251,Autogestão,RN
44595858000111,UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS,2025,1,271732121.00,314315,Cooperativa odontológica,SP
00571628000147,DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,2025,1,79963179.00,314366,Odontologia de Grupo,SP
66343534000129,UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,1035742016.00,314587,Cooperativa Médica,MG
17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,2025,1,4399385292.00,314668,Autogestão,MG
22263081000155,HOSPITAL CESAR LEITE,2025,1,274024836.00,314706,Filantropia,MG
68204486000113,UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,758621947.00,314781,Cooperativa Médica,SP
82956996000178,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,2025,1,5037162616.00,315044,Autogestão,SC
82353079000107,PARANA ASSISTENCIA MEDICA LTDA,2025,1,1626933575.00,315265,Medicina de Grupo,PR
62465117000106,FUNDAÇÃO CESP,2025,1,36474249790.00,315478,Autogestão,SP
41905498000119,UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA,2025,1,820815743.00,315494,Cooperativa Médica,MG
00660903000107,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,2025,1,4464721563.00,315567,Autogestão,MG
15215452000168,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,2025,1,708381559.00,315583,Autogestão,BA
64327059000171,UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,1097241386.00,315648,Cooperativa Médica,MG
44803922000102,UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,2025,1,15061798059.00,315729,Cooperativa Médica,SP
44863959000126,UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,2025,1,10532108675.00,315796,Cooperativa Médica,SP
41781949000153,UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,2025,1,2383281918.00,316148,Cooperativa Médica,MG
41511429000120,UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO,2025,1,665476902.00,316458,Cooperativa Médica,PI
42465310000121,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,2025,1,168072058.00,316849,Autogestão,RJ
73395469000140,CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,2025,1,3235133113.00,316873,Autogestão,MG
66343559000122,UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,2025,1,3392210475.00,316881,Cooperativa Médica,MG
93507895000136,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,2025,1,12487667.00,316903,Medicina de Grupo,RS
65442162000125,UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,2025,1,153292466.00,316997,Cooperativa odontológica,SP
85177194000158,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,2025,1,1445949441.00,317012,Cooperativa Médica,SC
05868278000107,UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,2025,1,63046421760.00,317144,Cooperativa Médica,CE
42160192000143,FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,2025,1,6918393115.00,317233,Autogestão,PE
62635990000191,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,2025,1,7927607654.00,317632,Autogestão,SP
71499792000139,UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA,2025,1,928886401.00,317896,Cooperativa Médica,MG
26291484000169,UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO,2025,1,1328166760.00,318035,Cooperativa Médica,MG
85246916000189,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,2025,1,1008731851.00,318213,Cooperativa Médica,SC
83506030000100,BENEFICENCIA CAMILIANA DO SUL,2025,1,5605517457.00,318299,Filantropia,SP
74521188000150,UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,2025,1,2427155990.00,318388,Cooperativa Médica,SP
02888465000156,OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,2025,1,2607811904.00,318477,Medicina de Grupo,SP
35642768000143,UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,2025,1,3309022344.00,318566,Cooperativa Médica,AL
25250820000162,UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA,2025,1,13073018203.00,319121,Cooperativa Médica,MG
00636975000100,SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA,2025,1,1322435860.00,319180,Medicina de Grupo,SP
87607149000111,UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,4039063140.00,319384,Cooperativa Médica,RS
51473692000126,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,2025,1,1988700139.00,319422,Filantropia,SP
87497368000195,UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,2025,1,6495669383.00,319708,Cooperativa Médica,RS
35908607000159,CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,2025,1,114306851.00,319872,Medicina de Grupo,RJ
43643139000166,UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,2025,1,32771687807.00,319996,Cooperativa Médica,SP
37275625000176,UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,2025,1,5370960873.00,320251,Cooperativa Médica,GO
32440968000125,UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,2025,1,9902213574.00,320706,Cooperativa Médica,ES
00668790000188,CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,2025,1,1062167799.00,320820,Autogestão,RS
01647867000104,UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS,2025,1,21142453.00,320838,Cooperativa Médica,MG
81076069000109,UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,2025,1,2366372307.00,320862,Cooperativa Médica,PR
39210844000100,UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO,2025,1,2024924368.00,320897,Cooperativa Médica,RJ
08680639000177,UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,24374200199.00,321044,Cooperativa Médica,PB
00368318000120,UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,1251139737.00,321087,Cooperativa Médica,RJ
24243925000121,UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA,2025,1,478636680.00,321125,Cooperativa odontológica,AL
82602327000106,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,2025,1,14184134230.00,321273,Cooperativa Médica,SC
72127210000156,IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI,2025,1,727776957.00,321320,Filantropia,SP
29640612000120,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,2025,1,932249890.00,321931,Filantropia,RJ
10395358000114,UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,2025,1,7394571999.00,321958,Cooperativa Médica,CE
25335803000128,ASSOCIAÇÃO BENEFICENTE CATÓLICA,2025,1,264185209.00,322326,Filantropia,MG
78044815000160,UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,2025,1,2814104827.00,322571,Cooperativa Médica,PR
23802218000165,UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO,2025,1,2121630703.00,322831,Cooperativa Médica,MG
02156150000114,DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.,2025,1,117738869.00,322890,Odontologia de Grupo,SP
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,2025,1,390011078.00,323004,Cooperativa Médica,SP
69087922000184,UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,1558386689.00,323055,Cooperativa Médica,SP
03658432000182,GEAP AUTOGESTÃO EM SAÚDE,2025,1,107914375641.00,323080,Autogestão,DF
40853020000120,UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,2025,1,9198336671.00,323268,Cooperativa Médica,PE
27626696000112,UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.,2025,1,1548998227.00,323357,Cooperativa Médica,RJ
25329079000120,UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO,2025,1,2019615293.00,323926,Cooperativa Médica,MG
26150979000178,FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO,2025,1,907185059.00,323942,Filantropia,MG
28806545000109,UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,2025,1,4362956495.00,323993,Cooperativa Médica,RJ
57214900000159,UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO,2025,1,1634222258.00,324159,Cooperativa Médica,SP
71064539000152,UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO,2025,1,610805787.00,324175,Cooperativa Médica,MG
09237009000195,UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL,2025,1,78996575.00,324213,Cooperativa Médica,PB
68682715000105,PLAMER PLANO MEDICO RESENDE LTDA,2025,1,826626251.00,324299,Medicina de Grupo,RJ
97388490000187,UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,2025,1,3230563512.00,324345,Cooperativa Médica,BA
42182170000184,CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,2025,1,5823119558.00,324361,Medicina de Grupo,RJ
30036685000197,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,2025,1,7875079023.00,324477,Autogestão,RJ
69259356000140,S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,2025,1,4935035098.00,324493,Autogestão,SP
40960189000189,UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO,2025,1,19040.00,324523,Cooperativa Médica,PB
01193663000132,UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO,2025,1,1873811454.00,324566,Cooperativa Médica,GO
67417519000140,UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,2025,1,1933524933.00,325031,Cooperativa Médica,SP
34063123000193,UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO,2025,1,318827048.00,325082,Cooperativa Médica,BA
66854779000110,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,2025,1,2143749962.00,325236,Medicina de Grupo,SP
20946877000187,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,2025,1,846392255.00,325465,Medicina de Grupo,MG
87827689000100,UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,2025,1,24173250150.00,325571,Cooperativa Médica,RS
29309127000179,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,2025,1,518351634817.00,326305,Medicina de Grupo,SP
50739135000141,SOBAM CENTRO MÉDICO HOSPITALAR S.A.,2025,1,9564445717.00,326500,Medicina de Grupo,SP
78613841000161,ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,2025,1,4468128678.00,326755,Filantropia,PR
15214919000155,PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,2025,1,7348134518.00,326861,Medicina de Grupo,BA
05455431000166,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,2025,1,28974000.00,327328,Medicina de Grupo,CE
66453168000160,UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO,2025,1,696531844.00,327352,Cooperativa Médica,MG
59847780000152,AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,2025,1,6038247972.00,327417,Medicina de Grupo,SP
66916305000156,UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,2025,1,614374884.00,327468,Cooperativa Médica,SP
83937631000169,CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,2025,1,2536489206.00,327557,Autogestão,SC
71186886000158,UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,440139387.00,327638,Cooperativa Médica,MG
12442737000143,UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO,2025,1,25171639675.00,327689,Cooperativa Médica,AL
01559455000104,UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS,2025,1,2348546415.00,328294,Cooperativa Médica,SP
00552181000169,UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO,2025,1,986669712.00,328308,Cooperativa Médica,SP
92316124000107,UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,2025,1,637388729.00,328375,Cooperativa Médica,RS
00453863000114,MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.,2025,1,3797926039.00,328537,Medicina de Grupo,SP
82996703000186,UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA,2025,1,7135233704.00,329339,Cooperativa Médica,SC
55189930000127,IRMANDADE DE MISERICORDIA DE PORTO FERREIRA,2025,1,1091321285.00,329355,Filantropia,SP
72783970000111,UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO,2025,1,2357892582.00,329886,Cooperativa Médica,SP
26189530000113,UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.,2025,1,2696751571.00,330108,Cooperativa Médica,MG
72957814000120,SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA,2025,1,1100581693.00,330116,Filantropia,SP
29290152000158,UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.,2025,1,2662311715.00,330264,Cooperativa Médica,RJ
